Seq #,Title,20 Char,Publisher,Prods,ISSN,E-ISSN,Country,Language,SCIE,SSCI,AHCI,WoS Category
10926J,ACADEMIC PSYCHIATRY,ACAD PSYCHIATR,SPRINGER,J  SS JZ Q  B  CC ES,1042-9670,1545-7230,UNITED STATES,English,0,1,,Education & Educational Research
10926J,ACADEMIC PSYCHIATRY,ACAD PSYCHIATR,SPRINGER,J  SS JZ Q  B  CC ES,1042-9670,1545-7230,UNITED STATES,English,,,,Psychiatry
11219J,ACADEMIC RADIOLOGY,ACAD RADIOL,ELSEVIER SCIENCE INC,D  JS Q  XC C  CC ES,1076-6332,1878-4046,UNITED STATES,English,1,0,,"Radiology, Nuclear Medicine & Medical Imaging"
C9919J,Academy of Management Annals,ACAD MANAG ANN,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",SS JZ Q  XC B  CC ES,1941-6520,1941-6067,UNITED STATES,English,0,1,,Management
00054J,ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,ACAD MANAGEMENT,J  SS JZ Q  B  BC CC ES,0001-4273,1948-0989,UNITED STATES,English,,,,Business
00054J,ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,ACAD MANAGEMENT,J  SS JZ Q  B  BC CC ES,0001-4273,1948-0989,UNITED STATES,English,,,,Management
C6153J,Academy of Management Learning & Education,ACAD MANAG LEARN EDU,ACAD MANAGEMENT,J  SS JZ Q  B  CC ES,1537-260X,,UNITED STATES,English,,,,Education & Educational Research
C6153J,Academy of Management Learning & Education,ACAD MANAG LEARN EDU,ACAD MANAGEMENT,J  SS JZ Q  B  CC ES,1537-260X,,UNITED STATES,English,,,,Management
C6450J,Academy of Management Perspectives,ACAD MANAGE PERSPECT,ACAD MANAGEMENT,J  SS JZ Q  B  CC ES,1558-9080,,UNITED STATES,English,,,,Business
C6450J,Academy of Management Perspectives,ACAD MANAGE PERSPECT,ACAD MANAGEMENT,J  SS JZ Q  B  CC ES,1558-9080,,UNITED STATES,English,,,,Management
04599J,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,ACAD MANAGEMENT,J  SS JZ Q  B  BC CC ES,0363-7425,1930-3807,UNITED STATES,English,,,,Business
04599J,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,ACAD MANAGEMENT,J  SS JZ Q  B  BC CC ES,0363-7425,1930-3807,UNITED STATES,English,,,,Management
04628J,ACADIENSIS,ACADIENSIS,UNIV NEW BRUNSWICK,H  Q  Y  CC,0044-5851,,CANADA,Multi-Language,,0,1,History
00059J,ACAROLOGIA,ACAROLOGIA,ACAROLOGIA-UNIVERSITE PAUL VALERY,D  JS Q  XC A  B1 B7 BA BP CC ES,0044-586X,2107-7207,FRANCE,Multi-Language,1,,0,Entomology
00075J,ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,PERGAMON-ELSEVIER SCIENCE LTD,J  SS JZ Q  B  B2 BA BP CC ES,0001-4575,1879-2057,ENGLAND,English,0,1,,Ergonomics
00075J,ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,PERGAMON-ELSEVIER SCIENCE LTD,J  SS JZ Q  B  B2 BA BP CC ES,0001-4575,1879-2057,ENGLAND,English,,,,Transportation
00075J,ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,PERGAMON-ELSEVIER SCIENCE LTD,J  SS JZ Q  B  B2 BA BP CC ES,0001-4575,1879-2057,ENGLAND,English,,,,"Social Sciences, Interdisciplinary"
00075J,ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,PERGAMON-ELSEVIER SCIENCE LTD,J  SS JZ Q  B  B2 BA BP CC ES,0001-4575,1879-2057,ENGLAND,English,,,,"Public, Environmental & Occupational Health"
D0034J,Accountability in Research-Policies and Quality Assurance,ACCOUNT RES,TAYLOR & FRANCIS LTD,D  JS Q  XC ES SP,0898-9621,1545-5815,UNITED STATES,English,1,0,,Medical Ethics
08069J,ACCOUNTING AND BUSINESS RESEARCH,ACCOUNT BUS RES,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",J  SS JZ Q  XC B  CC ES SP,0001-4788,2159-4260,ENGLAND,English,0,1,,"Business, Finance"
C7098J,Accounting and Finance,ACCOUNT FINANC,WILEY-BLACKWELL,SS JZ Q  XC WS ES,0810-5391,1467-629X,AUSTRALIA,English,,,,"Business, Finance"
D1408J,Accounting Auditing & Accountability Journal,ACCOUNT AUDIT ACCOUN,EMERALD GROUP PUBLISHING LIMITED,SS JZ Q  XC B  CC ES,0951-3574,1758-4205,ENGLAND,English,,,,"Business, Finance"
C8191J,Accounting Horizons,ACCOUNT HORIZ,AMER ACCOUNTING ASSOC,J  SS JZ Q  XC B  CC ES,0888-7993,1558-7975,UNITED STATES,English,,,,"Business, Finance"
03529J,ACCOUNTING ORGANIZATIONS AND SOCIETY,ACCOUNT ORG SOC,PERGAMON-ELSEVIER SCIENCE LTD,J  SS JZ Q  B  BC CC ES,0361-3682,1873-6289,ENGLAND,English,,,,"Business, Finance"
00115J,ACCOUNTING REVIEW,ACCOUNT REV,AMER ACCOUNTING ASSOC,J  SS JZ Q  B  BC CC ES,0001-4826,1558-7967,UNITED STATES,English,,,,"Business, Finance"
00088J,ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,AMER CHEMICAL SOC,K  D  JS Q  P  S  R  RC PI CC ES,0001-4842,1520-4898,UNITED STATES,English,1,0,,"Chemistry, Multidisciplinary"
12213J,ACCREDITATION AND QUALITY ASSURANCE,ACCREDIT QUAL ASSUR,SPRINGER,D  JS Q  XC S  CC ES,0949-1775,1432-0517,GERMANY,English,,,,Instruments & Instrumentation
12213J,ACCREDITATION AND QUALITY ASSURANCE,ACCREDIT QUAL ASSUR,SPRINGER,D  JS Q  XC S  CC ES,0949-1775,1432-0517,GERMANY,English,,,,"Chemistry, Analytical"
07159J,ACI MATERIALS JOURNAL,ACI MATER J,AMER CONCRETE INST,K  D  JS Q  T  CC ES,0889-325X,1944-737X,UNITED STATES,English,,,,"Materials Science, Multidisciplinary"
07159J,ACI MATERIALS JOURNAL,ACI MATER J,AMER CONCRETE INST,K  D  JS Q  T  CC ES,0889-325X,1944-737X,UNITED STATES,English,,,,Construction & Building Technology
07160J,ACI STRUCTURAL JOURNAL,ACI STRUCT J,AMER CONCRETE INST,K  D  JS Q  T  CC ES,0889-3241,1944-7361,UNITED STATES,English,,,,"Engineering, Civil"
07160J,ACI STRUCTURAL JOURNAL,ACI STRUCT J,AMER CONCRETE INST,K  D  JS Q  T  CC ES,0889-3241,1944-7361,UNITED STATES,English,,,,Construction & Building Technology
07160J,ACI STRUCTURAL JOURNAL,ACI STRUCT J,AMER CONCRETE INST,K  D  JS Q  T  CC ES,0889-3241,1944-7361,UNITED STATES,English,,,,"Materials Science, Multidisciplinary"
10785J,ACM COMPUTING SURVEYS,ACM COMPUT SURV,ASSOC COMPUTING MACHINERY,K  D  JS Q  T  EC CC ES,0360-0300,1557-7341,UNITED STATES,English,,,,"Computer Science, Theory & Methods"
C9285J,ACM Journal on Emerging Technologies in Computing Systems,ACM J EMERG TECH COM,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1550-4832,1550-4840,UNITED STATES,English,,,,Nanoscience & Nanotechnology
C9285J,ACM Journal on Emerging Technologies in Computing Systems,ACM J EMERG TECH COM,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1550-4832,1550-4840,UNITED STATES,English,,,,"Engineering, Electrical & Electronic"
C9285J,ACM Journal on Emerging Technologies in Computing Systems,ACM J EMERG TECH COM,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1550-4832,1550-4840,UNITED STATES,English,,,,"Computer Science, Hardware & Architecture"
13273J,ACM SIGCOMM Computer Communication Review,ACM SIGCOMM COMP COM,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,0146-4833,1943-5819,UNITED STATES,English,,,,"Computer Science, Information Systems"
11711J,ACM SIGPLAN NOTICES,ACM SIGPLAN NOTICES,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,0362-1340,1558-1160,UNITED STATES,English,,,,"Computer Science, Software Engineering"
C9286J,ACM Transactions on Algorithms,ACM T ALGORITHMS,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1549-6325,1549-6333,UNITED STATES,English,,,,"Computer Science, Theory & Methods"
C9286J,ACM Transactions on Algorithms,ACM T ALGORITHMS,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1549-6325,1549-6333,UNITED STATES,English,,,,"Mathematics, Applied"
C9353J,ACM Transactions on Applied Perception,ACM T APPL PERCEPT,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1544-3558,1544-3965,UNITED STATES,English,,,,"Computer Science, Software Engineering"
C7597J,ACM Transactions on Architecture and Code Optimization,ACM T ARCHIT CODE OP,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1544-3566,1544-3973,UNITED STATES,English,,,,"Computer Science, Hardware & Architecture"
C7597J,ACM Transactions on Architecture and Code Optimization,ACM T ARCHIT CODE OP,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1544-3566,1544-3973,UNITED STATES,English,,,,"Computer Science, Theory & Methods"
C9330J,ACM Transactions on Autonomous and Adaptive Systems,ACM T AUTON ADAP SYS,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1556-4665,1556-4703,UNITED STATES,English,,,,"Computer Science, Information Systems"
C9330J,ACM Transactions on Autonomous and Adaptive Systems,ACM T AUTON ADAP SYS,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1556-4665,1556-4703,UNITED STATES,English,,,,"Computer Science, Theory & Methods"
C9330J,ACM Transactions on Autonomous and Adaptive Systems,ACM T AUTON ADAP SYS,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1556-4665,1556-4703,UNITED STATES,English,,,,"Computer Science, Artificial Intelligence"
C6942J,ACM Transactions on Computational Logic,ACM T COMPUT LOG,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1529-3785,1557-945X,UNITED STATES,English,,,,Logic
C6942J,ACM Transactions on Computational Logic,ACM T COMPUT LOG,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1529-3785,1557-945X,UNITED STATES,English,,,,"Computer Science, Theory & Methods"
04795J,ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM T COMPUT SYST,ASSOC COMPUTING MACHINERY,K  D  JS Q  T  CC ES,0734-2071,1557-7333,UNITED STATES,English,,,,"Computer Science, Theory & Methods"
C7771J,ACM Transactions on Computer-Human Interaction,ACM T COMPUT-HUM INT,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1073-0516,1557-7325,UNITED STATES,English,,,,"Computer Science, Information Systems"
C7771J,ACM Transactions on Computer-Human Interaction,ACM T COMPUT-HUM INT,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1073-0516,1557-7325,UNITED STATES,English,,,,"Computer Science, Cybernetics"
D3451J,ACM Transactions on Computing Education,ACM T COMPUT EDUC,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1946-6226,1946-6226,UNITED STATES,English,,,,"Education, Scientific Disciplines"
03624J,ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,ASSOC COMPUTING MACHINERY,K  D  JS Q  T  CC ES,0362-5915,1557-4644,UNITED STATES,English,,,,"Computer Science, Software Engineering"
03624J,ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,ASSOC COMPUTING MACHINERY,K  D  JS Q  T  CC ES,0362-5915,1557-4644,UNITED STATES,English,,,,"Computer Science, Information Systems"
13307J,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  EC CC ES,1084-4309,1557-7309,UNITED STATES,English,,,,"Computer Science, Software Engineering"
13307J,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  EC CC ES,1084-4309,1557-7309,UNITED STATES,English,,,,"Computer Science, Hardware & Architecture"
C8124J,ACM Transactions on Embedded Computing Systems,ACM T EMBED COMPUT S,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1539-9087,1558-3465,UNITED STATES,English,,,,"Computer Science, Hardware & Architecture"
C8124J,ACM Transactions on Embedded Computing Systems,ACM T EMBED COMPUT S,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1539-9087,1558-3465,UNITED STATES,English,,,,"Computer Science, Software Engineering"
04191J,ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,ASSOC COMPUTING MACHINERY,K  D  JS Q  T  CC ES,0730-0301,1557-7368,UNITED STATES,English,,,,"Computer Science, Software Engineering"
C7898J,ACM Transactions on Information and System Security,ACM T INFORM SYST SE,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1094-9224,1557-7406,UNITED STATES,English,,,,"Computer Science, Information Systems"
09068J,ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM T INFORM SYST,ASSOC COMPUTING MACHINERY,K  D  JS Q  T  CC ES,1046-8188,1558-2868,UNITED STATES,English,,,,"Computer Science, Information Systems"
D1486J,ACM Transactions on Intelligent Systems and Technology,ACM T INTEL SYST TEC,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,2157-6904,2157-6912,UNITED STATES,English,,,,"Computer Science, Artificial Intelligence"
D1486J,ACM Transactions on Intelligent Systems and Technology,ACM T INTEL SYST TEC,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,2157-6904,2157-6912,UNITED STATES,English,,,,"Computer Science, Information Systems"
C7899J,ACM Transactions on Internet Technology,ACM T INTERNET TECHN,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1533-5399,1557-6051,UNITED STATES,English,,,,"Computer Science, Information Systems"
C7899J,ACM Transactions on Internet Technology,ACM T INTERNET TECHN,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1533-5399,1557-6051,UNITED STATES,English,,,,"Computer Science, Software Engineering"
D0958J,ACM Transactions on Knowledge Discovery from Data,ACM T KNOWL DISCOV D,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1556-4681,1556-472X,UNITED STATES,English,,,,"Computer Science, Software Engineering"
D0958J,ACM Transactions on Knowledge Discovery from Data,ACM T KNOWL DISCOV D,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1556-4681,1556-472X,UNITED STATES,English,,,,"Computer Science, Information Systems"
03259J,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,ASSOC COMPUTING MACHINERY,K  D  JS Q  T  CC ES,0098-3500,1557-7295,UNITED STATES,English,,,,"Mathematics, Applied"
03259J,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,ASSOC COMPUTING MACHINERY,K  D  JS Q  T  CC ES,0098-3500,1557-7295,UNITED STATES,English,,,,"Computer Science, Software Engineering"
C6859J,ACM Transactions on Modeling and Computer Simulation,ACM T MODEL COMPUT S,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1049-3301,1558-1195,UNITED STATES,English,,,,"Computer Science, Interdisciplinary Applications"
C6859J,ACM Transactions on Modeling and Computer Simulation,ACM T MODEL COMPUT S,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1049-3301,1558-1195,UNITED STATES,English,,,,"Mathematics, Applied"
C7610J,ACM Transactions on Multimedia Computing Communications and Applications,ACM T MULTIM COMPUT,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1551-6857,1551-6865,UNITED STATES,English,,,,"Computer Science, Software Engineering"
C7610J,ACM Transactions on Multimedia Computing Communications and Applications,ACM T MULTIM COMPUT,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1551-6857,1551-6865,UNITED STATES,English,,,,"Computer Science, Information Systems"
C7610J,ACM Transactions on Multimedia Computing Communications and Applications,ACM T MULTIM COMPUT,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1551-6857,1551-6865,UNITED STATES,English,,,,"Computer Science, Theory & Methods"
03625J,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,ASSOC COMPUTING MACHINERY,K  D  JS Q  T  CC ES,0164-0925,1558-4593,UNITED STATES,English,,,,"Computer Science, Software Engineering"
D0959J,ACM Transactions on Reconfigurable Technology and Systems,ACM T RECONFIG TECHN,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1936-7406,1936-7414,UNITED STATES,English,,,,"Computer Science, Hardware & Architecture"
C8378J,ACM Transactions on Sensor Networks,ACM T SENSOR NETWORK,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1550-4859,1550-4867,UNITED STATES,English,,,,Telecommunications
C8378J,ACM Transactions on Sensor Networks,ACM T SENSOR NETWORK,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1550-4859,1550-4867,UNITED STATES,English,,,,"Computer Science, Information Systems"
13142J,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM T SOFTW ENG METH,ASSOC COMPUTING MACHINERY,K  D  JS Q  XC T  CC ES,1049-331X,1557-7392,UNITED STATES,English,,,,"Computer Science, Software Engineering"
D1216J,ACM Transactions on Storage,ACM T STORAGE,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  EC CC ES,1553-3077,1553-3093,UNITED STATES,English,,,,"Computer Science, Hardware & Architecture"
D1216J,ACM Transactions on Storage,ACM T STORAGE,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  EC CC ES,1553-3077,1553-3093,UNITED STATES,English,,,,"Computer Science, Software Engineering"
C9331J,ACM Transactions on the Web,ACM T WEB,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1559-1131,1559-114X,UNITED STATES,English,,,,"Computer Science, Information Systems"
C9331J,ACM Transactions on the Web,ACM T WEB,ASSOC COMPUTING MACHINERY,D  JS Q  XC T  CC ES,1559-1131,1559-114X,UNITED STATES,English,,,,"Computer Science, Software Engineering"
10318J,ACOUSTICAL PHYSICS,ACOUST PHYS+,MAIK NAUKA/INTERPERIODICA/SPRINGER,K  D  JS Q  S  T  CC ES,1063-7710,1562-6865,RUSSIA,English,,,,Acoustics
C8786J,Acoustics Australia,ACOUST AUST,SPRINGER,D  JS Q  XC WS ES,1839-2571,1839-2571,AUSTRALIA,English,,,,Acoustics
C8943J,Across Languages and Cultures,ACROSS LANG CULT,AKADEMIAI KIADO RT,J  SS H  JZ Q  XC ES,1585-1923,1588-2519,HUNGARY,English,0,1,1,Linguistics
C8943J,Across Languages and Cultures,ACROSS LANG CULT,AKADEMIAI KIADO RT,J  SS H  JZ Q  XC ES,1585-1923,1588-2519,HUNGARY,English,,,,Language & Linguistics
C9436J,ACS Applied Materials & Interfaces,ACS APPL MATER INTER,AMER CHEMICAL SOC,K  D  JS Q  XC S  T  CC ES,1944-8244,,UNITED STATES,English,1,0,0,"Materials Science, Multidisciplinary"
C9436J,ACS Applied Materials & Interfaces,ACS APPL MATER INTER,AMER CHEMICAL SOC,K  D  JS Q  XC S  T  CC ES,1944-8244,,UNITED STATES,English,,,,Nanoscience & Nanotechnology
D0537J,ACS Catalysis,ACS CATAL,AMER CHEMICAL SOC,D  JS Q  XC S  CC ES,2155-5435,2155-5435,UNITED STATES,English,,,,"Chemistry, Physical"
C6619J,ACS Chemical Biology,ACS CHEM BIOL,AMER CHEMICAL SOC,D  JS Q  XC P  B2 BA BP PI CC ES,1554-8929,1554-8937,UNITED STATES,English,,,,Biochemistry & Molecular Biology
D0035J,ACS Chemical Neuroscience,ACS CHEM NEUROSCI,AMER CHEMICAL SOC,D  JS Q  XC B1 BA BP PI ES,1948-7193,1948-7193,UNITED STATES,English,,,,Biochemistry & Molecular Biology
D0035J,ACS Chemical Neuroscience,ACS CHEM NEUROSCI,AMER CHEMICAL SOC,D  JS Q  XC B1 BA BP PI ES,1948-7193,1948-7193,UNITED STATES,English,,,,Neurosciences
D0035J,ACS Chemical Neuroscience,ACS CHEM NEUROSCI,AMER CHEMICAL SOC,D  JS Q  XC B1 BA BP PI ES,1948-7193,1948-7193,UNITED STATES,English,,,,"Chemistry, Medicinal"
D0491J,ACS Combinatorial Science,ACS COMB SCI,AMER CHEMICAL SOC,K  D  JS Q  P  S  CR RD I  PR RC SR CH B2 BA BP PI CC ES,2156-8952,2156-8944,UNITED STATES,English,,,1,"Chemistry, Medicinal"
D0491J,ACS Combinatorial Science,ACS COMB SCI,AMER CHEMICAL SOC,K  D  JS Q  P  S  CR RD I  PR RC SR CH B2 BA BP PI CC ES,2156-8952,2156-8944,UNITED STATES,English,,,,"Chemistry, Applied"
D0491J,ACS Combinatorial Science,ACS COMB SCI,AMER CHEMICAL SOC,K  D  JS Q  P  S  CR RD I  PR RC SR CH B2 BA BP PI CC ES,2156-8952,2156-8944,UNITED STATES,English,,,,"Chemistry, Multidisciplinary"
D1054J,ACS Macro Letters,ACS MACRO LETT,AMER CHEMICAL SOC,K  D  JS Q  S  CR RD RC SR CC ES,2161-1653,2161-1653,UNITED STATES,English,,,0,Polymer Science
D0150J,ACS Medicinal Chemistry Letters,ACS MED CHEM LETT,AMER CHEMICAL SOC,D  JS Q  XC P  CR DF B1 BA BP CC ES,1948-5875,,UNITED STATES,English,,,,"Chemistry, Medicinal"
C7685J,ACS Nano,ACS NANO,AMER CHEMICAL SOC,K  D  JS Q  XC S  PI CC ES,1936-0851,1936-086X,UNITED STATES,English,,,,"Chemistry, Multidisciplinary"
C7685J,ACS Nano,ACS NANO,AMER CHEMICAL SOC,K  D  JS Q  XC S  PI CC ES,1936-0851,1936-086X,UNITED STATES,English,,,,"Materials Science, Multidisciplinary"
C7685J,ACS Nano,ACS NANO,AMER CHEMICAL SOC,K  D  JS Q  XC S  PI CC ES,1936-0851,1936-086X,UNITED STATES,English,,,,Nanoscience & Nanotechnology
C7685J,ACS Nano,ACS NANO,AMER CHEMICAL SOC,K  D  JS Q  XC S  PI CC ES,1936-0851,1936-086X,UNITED STATES,English,,,,"Chemistry, Physical"
D2539J,ACS Photonics,ACS PHOTONICS,AMER CHEMICAL SOC,D  JS Q  XC S  T  CC ES,2330-4022,,UNITED STATES,English,,,,Optics
